Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Fish
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
Type: Expense, Account: Cash, Category: Food,Amount:10.0,Note: Rice
