Type: Income, Account: Cash, Category: Food,Amount:32.0,Note: Salary
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
Type: Income, Account: Cash, Category: Food,Amount:20.0,Note: Mom
